parcel_id,zone_code
"29 3701-00-835","RR-65"
"29 3701-00-753","RR-65"
"29 3701-00-794","RR-65"
"29 3701-00-751","RR-65"
"29 3701-00-752","RR-65"
"29 3701-00-796","RR-65"
"29 3701-00-758","RR-65"
"29 3701-00-778","RR-65"
"29 3701-00-864","RR-65"
"29 3701-00-769","RR-65"
"29 3701-00-834","RR-65"
"29 3701-00-760","RR-65"
"29 3702-00-775","RR-65"
"29 3702-00-811","RR-65"
"29 3702-75-*-28","RR-65"
"29 3805-50-*-12","RS-21"
"29 3702-75-*-15","RR-65"
"29 3702-75-*-14","RR-65"
"29 3701-00-519","RR-65"
"29 3702-75-*-1","RR-65"
"29 3701-00-545","RR-65"
"29 3701-00-551.1","INS"
"29 3701-00-579","RR-65"
"29 3701-00-551","RR-65"
"29 3701-00-518","RR-65"
"29 3701-00-531","RR-65"
"29 3701-00-516","RR-65"
"29 3805-50-*-13","RS-21"
"29 3701-50-*-1","RR-65"
"29 3805-50-*-7","RS-21"
"29 3701-00-507","RR-65"
"29 3702-00-587","RR-65"
"29 3805-00-505","INS"
